iter	Passed	Remaining
0	143	143797
1	292	146173
2	432	143736
3	571	142295
4	720	143310
5	865	143315
6	1016	144199
7	1155	143260
8	1317	145068
9	1462	144832
10	1617	145424
11	1762	145153
12	1913	145250
13	2066	145542
14	2219	145718
15	2364	145446
16	2510	145146
17	2668	145568
18	2806	144880
19	2955	144807
20	3098	144454
21	3241	144113
22	3386	143855
23	3519	143133
24	3673	143277
25	3825	143314
26	3972	143165
27	4120	143053
28	4268	142935
29	4409	142575
30	4555	142406
31	4716	142660
32	4860	142415
33	5000	142086
34	5153	142100
35	5302	141999
36	5447	141782
37	5589	141514
38	5734	141312
39	5882	141187
40	6023	140896
41	6173	140819
42	6308	140392
43	6451	140169
44	6600	140072
45	6748	139956
46	6904	140001
47	7046	139753
48	7197	139696
49	7341	139480
50	7483	139260
51	7624	139006
52	7769	138828
53	7911	138591
54	8049	138311
55	8191	138087
56	8336	137909
57	8487	137851
58	8636	137740
59	8780	137559
60	8923	137365
61	9079	137371
62	9218	137111
63	9374	137105
64	9514	136860
65	9666	136792
66	9821	136767
67	9969	136634
68	10120	136555
69	10260	136322
70	10410	136211
71	10549	135974
72	10700	135876
73	10839	135637
74	10987	135514
75	11129	135312
76	11269	135084
77	11415	134940
78	11555	134711
79	11702	134582
80	11843	134369
81	11996	134297
82	12136	134083
83	12288	134007
84	12424	133741
85	12571	133611
86	12709	133374
87	12864	133318
88	13010	133174
89	13153	132998
90	13303	132885
91	13443	132677
92	13592	132566
93	13724	132285
94	13868	132115
95	14009	131926
96	14153	131761
97	14301	131634
98	14434	131372
99	14585	131272
100	14723	131056
101	14865	130879
102	15009	130716
103	15165	130654
104	15310	130506
105	15464	130423
106	15600	130199
107	15741	130014
108	15883	129839
109	16028	129686
110	16173	129536
111	16316	129366
112	16462	129221
113	16598	128999
114	16749	128899
115	16883	128663
116	17037	128581
117	17175	128382
118	17333	128324
119	17479	128184
120	17625	128039
121	17772	127905
122	17923	127792
123	18077	127705
124	18220	127542
125	18372	127443
126	18514	127268
127	18658	127111
128	18794	126899
129	18936	126730
130	19075	126541
131	19222	126405
132	19361	126211
133	19500	126023
134	19637	125823
135	19778	125650
136	19925	125517
137	20062	125318
138	20211	125197
139	20345	124977
140	20489	124828
141	20631	124659
142	20781	124541
143	20918	124350
144	21066	124218
145	21215	124095
146	21356	123926
147	21507	123813
148	21645	123626
149	21786	123458
150	21928	123294
151	22078	123176
152	22227	123048
153	22382	122956
154	22523	122791
155	22670	122654
156	22810	122480
157	22957	122343
158	23097	122167
159	23247	122048
160	23389	121887
161	23530	121717
162	23673	121565
163	23830	121477
164	23980	121355
165	24124	121202
166	24269	121055
167	24410	120890
